Ä£ÐÍ,Ceval-Computer_Network,Ceval-Operating_System,Ceval-Computer_Architecture,Ceval-College_Programming,Ceval-College_Physics,Ceval-College_Chemistry,Ceval-Advanced_Mathematics,Ceval-Probability_And_Statistics,Ceval-Discrete_Mathematics,Ceval-Electrical_Engineer,Ceval-Metrology_Engineer,Ceval-High_School_Mathematics,Ceval-High_School_Physics,Ceval-High_School_Chemistry,Ceval-High_School_Biology,Ceval-Middle_School_Mathematics,Ceval-Middle_School_Biology,Ceval-Middle_School_Physics,Ceval-Middle_School_Chemistry,Ceval-Veterinary_Medicine,Ceval-College_Economics,Ceval-Business_Administration,Ceval-Marxism,Ceval-Mao_Zedong_Thought,Ceval-Education_Science,Ceval-Teacher_Qualification,Ceval-High_School_Politics,Ceval-High_School_Geography,Ceval-Middle_School_Politics,Ceval-Middle_School_Geography,Ceval-Modern_Chinese_History,Ceval-Ideological_And_Moral_Cultivation,Ceval-Logic,Ceval-Law,Ceval-Chinese_Language_And_Literature,Ceval-Art_Studies,Ceval-Professional_Tour_Guide,Ceval-Legal_Professional,Ceval-High_School_Chinese,Ceval-High_School_History,Ceval-Middle_School_History,Ceval-Civil_Servant,Ceval-Sports_Science,Ceval-Plant_Protection,Ceval-Basic_Medicine,Ceval-Clinical_Medicine,Ceval-Urban_And_Rural_Planner,Ceval-Accountant,Ceval-Fire_Engineer,Ceval-Environmental_Impact_Assessment_Engineer,Ceval-Tax_Accountant,Ceval-Physician,Avg
Moonshot-v1-32K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InternLM3-8B-Instruct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLM-4-9B-Chat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Llama3.1-8B-Instruct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360Zhinao2-7B-Chat-4K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gemma-2-9B-it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministral-8B-Instruct-2410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yi-1.5-9B-Chat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Llama3.2-3B-Instruct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen2.5-32B-Instruct,84.21,73.68,90.48,89.19,94.74,66.67,42.11,55.56,50,72.97,95.83,50,89.47,94.74,94.74,94.74,85.71,100,100,86.96,76.36,84.85,94.74,95.83,89.66,93.18,100,89.47,90.48,91.67,91.3,100,90.91,79.17,69.57,81.82,96.55,82.61,78.95,95,100,82.98,94.74,72.73,89.47,90.91,89.13,89.8,100,83.87,89.8,89.8,85.71
Edullm_32B,84.21,84.21,90.48,86.49,89.47,70.83,68.42,66.67,37.5,70.27,95.83,66.67,89.47,100,100,100,85.71,100,95,86.96,80,84.85,94.74,100,93.1,90.91,100,84.21,90.48,91.67,91.3,100,95.45,79.17,73.91,81.82,100,82.61,78.95,100,100,85.11,89.47,90.91,89.47,90.91,89.13,89.8,93.55,83.87,85.71,91.84,87.33
